#,BL Name,RGB,Hex,1x1 Plate,1x1 Tile,1x1 Round,2x2 Round
1,White,"244, 244, 244",#f4f4f4,+,+,+,+
2,Very Light Bluish Grey,"200,200,200",#c8c8c8,+,-,-,-
3,Very Light Gray,"188, 180, 165",#bcb4a5,+,-,-,-
4,Pearl light Gray,"160,160,160",#a0a0a0,+,x,+,-
5,Light Bluish Gray,"150, 150, 150",#969696,+,+,+,+
6,Light Gray,"138, 146, 141",#8a928d,+,+,+,+
7,Dark Bluish Gray,"100, 100, 100",#646464,+,+,+,+
8,Dark Gray,"84, 89, 85",#545955,+,+,+,+
9,Light Aqua,"211, 242, 234",#d3f2ea,+,-,-,-
10,Bright Light Blue,"157, 195, 247",#9dc3f7,+,-,-,-
11,Maersk Blue,"171, 217, 255",#abd9ff,+,+,x,-
12,Dark Azur,"70,155,195",#469bc3,+,+,-,-
13,Sand Blue,"112, 129, 154",#70819a,+,+,-,+
14,Blue,"30, 90, 168",#1e5aa8,+,+,+,+
15,Dark Blue,"25, 50, 90",#19325a,+,+,+,-
16,Dark Turquoise,"6,157,159",#069d9f,+,-,-,-
17,Yellowish Green,"226, 249, 154",#e2f99a,+,-,+,-
18,Lime,"165, 202, 24",#a5ca18,+,+,+,+
19,Sand Green,"112, 142, 124",#708e7c,+,+,+,-
20,Olive Green,"119, 119, 78",#77774e,+,-,-,-
21,Green,"0, 133, 43",#00852b,+,+,+,+
22,Dark Green,"0, 69, 26",#00451a,+,+,-,+
23,Bright Light Yellow,"255, 236, 108",#ffec6c,+,-,-,-
24,Yellow,"250, 200, 10",#fac80a,+,+,+,+
25,Bright Light Orange,"252, 172, 0",#fca00,+,+,-,-
26,Medium Orange,"245, 134, 36",#f58624,+,-,-,-
27,Orange,"214, 121, 35",#d67923,+,+,+,+
28,Red,"180, 0, 0",#b40000,+,+,+,+
29,Pink,"246, 169, 187",#f6a9bb,x,x,x,-
30,Bright Pink,"255, 158, 205",#ff9ecd,+,+,+,-
31,Dark Pink,"208,80,152",#d05098,+,x,+,x
32,Magenta,"144, 31, 118",#901f76,+,+,-,-
33,Dark Red,"114, 0, 18",#720012,+,+,+,-
34,Medium Lavender,"160, 110, 185",#a06eb9,+,x,-,-
35,Dark Purple,"68, 26, 145",#441a91,+,+,+,+
36,Pearl Gold,"170, 127, 46",aa7f2e,+,+,+,+
37,Tan,"176, 160, 111",#b0a06f,+,+,+,+
38,Dark Tan,"137, 125, 98",#897d62,+,+,-,-
39,Medium Dark Flesh,"170,125,85",#aa7d55,+,+,-,+
40,Dark Orange,"145,80,28",#91501c,+,+,-,+
41,Reddish Brown,"95, 49, 9",#5f3109,+,+,+,+
42,Brown,"84, 51, 36",#543324,+,+,x,-
43,Black,"27, 42, 52",#1b2a34,+,+,+,+
